qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_Trade_Goods|Handel towarami
qstr_Manage_Ledger|Zarządzaj Księgą
qstr_{s1}^+{s0}|{s1}^+{s0}
qstr_{reg0}_entries_remov|{reg0} wpisy usunięte z księgi.
qstr_Plan_Deployment|Plan rozlokowania
qstr_You_will_have_{reg1}|Posiadasz {reg1} jednostek dostępnych na początku bitwy
qstr_Troop|Wojsko
qstr_#_at_start__/_#_in_p|# na początku  / # w oddziale
qstr_/_{reg0}|/ {reg0}
qstr_{reg0}|{reg0}
qstr_of_{reg0}_troops|{reg0} z wojska
qstr_Ready_Troops|Gotowe oddziały
qstr_Reassess|Ponownie oszacuj
qstr_Scrap_All|Wyrzuć wszystkie
qstr_Too_many_troops^Chec|Za dużo jednostek^Sprawdź dostępną liczbę
qstr_Initial|Początek
qstr_Movement_1|Ruch 1
qstr_Movement_2|Ruch 2
qstr_Formation|Formacja
qstr_Attack|Atak
qstr_Weapon_Type|Rodzaj broni
qstr_Shield|Tarcza
qstr_Skirmish|Potyczka
qstr_Hold_Position|Utrzymać pozycję
qstr_Back_10|Do tyłu 10 kroków
qstr_Forward_10|Do przodu 10 kroków
qstr_Repeat_x|Ponów x
qstr_Square|Czworobok
qstr_Wedge|Klin
qstr_Shieldwall|Mur tarcz
qstr_Ranks|Szeregi
qstr_Ranged|Walka dystansowa
qstr_Two_Handed|Broń dwuręczna
qstr_One_Handed|Broń jednoręczna
qstr_No_Shields|Bez tarcz
qstr_Use_Shields|Użyj tarcz
qstr_Avoid_Melee|Unikaj walki kontaktowej
qstr_Turn_to_weapon_order|Ustal kolejność broni...
qstr_Prepare_Orders|Przygotuj kolejność
qstr_Dispatch_Orders|Wyślij kolejność
qstr_...Turn_to_positioni|...Przejdź do kolejności pozycyjnej
qstr_Record_Battle_Size_as|Ustaw wielkość bitwy w opcjach
qstr_Enable_ranged_penalt|Włącz okresowe kary od pogody:
qstr_Disable_Companions__|Wyłącz skargi towarzyszy:
qstr_Enable_the_cheat_men|Włącz menu kodów:
qstr_PBOD_Mod^Options|PBOD Opcje^Moda
qstr_Mouse_over_options_f|Kursor nad opcją by wyświetlić dalsze informacje.
qstr_Weapon_Use_Fix_for_L|Użyj korekcji dla Lancy, aby zmusić boty do korzystania z lanc, chyba że zostaną otoczeni przez wrogów.
qstr_Weapon_Use_Fix_for_H|Użyj korekcji dla Łuczników Konnych, aby zmusić boty (łuczników konnych) do korzystaania z łuków dopóki nie zabraknie im amunicji.
qstr_Weapon_Use_Fix_for_S|Użyj korekcji dla Włóczni/Broni drzewcowych, aby zmusić boty (piechotę) do korzystania z włóczni/broni drzewcowych, chyba że zostaną otoczeni przez wrogów
qstr_Damage_tweaks_will_g|Damage tweaks will give a flat boost to damage from spears to horses, and charge damage from horses to infantry, in an attempt to compensate for poor AI use of polearms and charges.
qstr_Mounted_bots_once_th|Boty, gdy ich koń umiera, mogą zostać przypisani do oddziału wybranego przez gracza. Jeżeli aktywne, AI botów zostanie przeniesiona do piechoty.
qstr_Foot_archer_bots_onc|Boty (łucznicy), po tym jak skończy im się amunicja, mogą zostać przypisani do oddziału wybranego przez gracza. Jeżeli aktywne, AI botów zostanie przeniesiona do piechoty.
qstr_Battle_Continuation_|Kontynuacja Bitwy pozwala wojsku kontynuować walkę po tym jak zostaniesz ogłuszony.
qstr_If_Battle_Continuati|Jeśli kontynuacja bitwy jest aktywna, możesz wybrać, co Twoi żołnierze będą robić po tym jak zostaniesz ogłuszony: Jeżeli nieaktywne, wojska będą kontynuować twoje poprzednie rozkazy; "Do ataku" nakazuje wszystkim atakować; Formacje AI (jeśli AI aktywne) pozwala AI przejąć kontrolę za gracza.
qstr_Select_your_prefered|Wybierz preferowaną AI bitwy: Jeśli nieaktywne korzysta z AI Native; Formacje AI pozwalają AI używać formacji i zmieniać je podczas bitwy; Formacje AI Native korzysta z podstawowych formacji.
qstr_Enabling_AI_Special_|Enabling AI Special Orders allows the AI teams to use volley fire (crossbows), skirmish mode (bow-users), and spear-bracing (polearm infantry).
qstr_Bodyguards_allows_yo|Pozwala twoim towarzyszą ochraniać postać gracza w mieście i na wsi. Liczba ochroniarzy zależy od umiejętności przywództwa i renomy.
qstr_The_Weather_Proficie|Kary od pogody obniżają biegłości w broniach dystansowych wszystkim żołnierzom, tylko wtedy gdy na polu walki panuję ciężka mgła, pada deszcz lub śnieg, bądź też wtedy gdy jest noc. Wszystko to ma na celu odzwierciedlenie niekorzystnych warunków dla łucznictwa.
qstr_Disabling_NPC_Compla|NPC nie będą narzekać na twoje decyzję i na siebie nawzajem. Nie usunie to jednak konsekwencji ich opinii.
qstr_The_cheat/debug_mode|Kody/debug mode włącza komunikaty o błędach, jak również dodatkowe opcję jak 'cheatmenu' w menu Obozu pod Raportami.
qstr_Keys_Configuration|Konfiguracja klawiszy
qstr_Press_Esc_to^^Disabl|Naciśnij Esc, aby^^wyłączyć klawisz
qstr_DeathCam_Mouse_Sensi|Czułość myszy kamery pośmiertnej.
qstr_OK|OK
qstr_Reset|Resetuj
qstr_Mod_Options|Opcje Moda
qstr_Press_a_key|Wciśnij Klawisz
qstr_{s10}___Formation_ty|{s10} - Formacje
qstr_{s11}___Weapon_order|{s11} - Broń
qstr_{s12}___Shield_order|{s12} - Tarcza
qstr_{s13}___Attack_order|{s13} - Atak
qstr_{s10}___Ranks|{s10} - Szeregi
qstr_{s11}___Shieldwall|{s11} - Mur tarcz
qstr_{s12}___Wedge|{s12} - Klin
qstr_{s13}___Square|{s13} - Czworobok
qstr_{s14}___No_Formation|{s14} - Bez formacji
qstr_{s15}___Escape_Menu|{s15} - Menu ucieczki
qstr_{s11}___One_Handers|{s11} - Jednoręczne
qstr_{s12}___Two_Handers|{s12} - Dwuręczne
qstr_{s13}___Polearms|{s13} - Broń drzewcowa
qstr_{s14}___Ranged|{s14} - Broń dystansowa
qstr_{s11}___Use_Shields|{s11} - Użyć tarcz
qstr_{s12}___No_Shields|{s12} - Bez tarcz
qstr_{s13}___Free|{s13} - Dowolna
qstr_{s10}___End_Order|{s10} - Koniec
qstr_{s11}___Skirmish|{s11} - Potyczka
qstr_{s12}___Volley_Fire|{s12} - Strzelać salwami
qstr_{s13}___Brace_Polear|{s13} - Mur włóczni
qstr_DeathCam|Kamera pośmiertna
qstr_Camera|Kamera
qstr_Follow|Podążaj
qstr_Free|Wolna
qstr_Troop_Assignments|Przydział wojsk
qstr_Split_Troops_into_Se|Przydziel żołnierzy do kolejnych oddziałów
qstr_Troops_by^_Primary_D|Wojska^ pierwszy oddział
qstr_#_in^Main_Division|# w^głównym oddziale
qstr_Show/^Hide|Pokaż/^Ukryj
qstr_#_in^Secondary_Divis|# w^następnym oddziale
qstr_Secondary^Division|Następny^oddział
qstr_Disabled|Wyłączone
qstr_Split_Active|Podział aktywny
qstr_Clear_All|Wyczyść wszystko
qstr_Discard_Changes|Odrzuć zmiany
qstr_Save|Zapisz
qstr_DEBUG__TPE_:_Added__|DEBUG (TPE): Dodano '{s1}' do menu znaków wyboru.  Slot #{reg31}
qstr_TOURNAMENT_SETTINGS|USTAWIENIA TURNIEJU
qstr_You_have_nothing.|Nie masz nic.
qstr_Your_weapon_selectio|Twój wybór broni jest odpowiedni.
qstr_Display_Settings|Ustawienia ekranu
qstr_Combat_Settings|Ustawienia walki
qstr_ERROR!|Błąd!
qstr_Global_Options|Opcje globalne
qstr_Renown_Scaling|Skalowanie renomy
qstr_Enable_level_scaling|Włącz skalowanie poziomu
qstr_Display_Options|Opcje wyświetlania
qstr_Show_combat_display|Pokaż ekran walki
qstr_Show_health_bars|Pokaż paski zdrowia
qstr_Show_team_points_awa|Pokaż punkty przyznawane drużynie
qstr_Show_teammate_s_dama|Pokaż obrażenia drużyny
qstr_Show_when_awards_are|Pokaż przyznawane nagrody
qstr_Show_when_points_are|Pokaż przyznawane punkty
qstr_Team:|Drużyna:
qstr_Persistent_Bet:|Trwały zakład:
qstr_Difficulty:|Poz. trudności:
qstr_Random_team_number_a|Losowy numer i rozmiar zespołu
qstr_Match:_{reg2}_teams_|Runda: {reg2} drużyny z {reg3} członków
qstr_Individual_Options|Poszczególne opcje
qstr_Always_randomize_equ|Zawsze losowy sprzęt
qstr_Never_spawn_this_cha|Nie pozwalaj pojawić się tej postaci
qstr_Weapon_Choices______|Wybór broni             Umiejętności
qstr_Lance_&_Shield|Lanca i Tarcza
qstr_Bow_&_Arrow|Łuk i Strzały
qstr_One_Handed_&_Shield|Broń 1-ręczna i Tarcza
qstr_Two_Handed_Weapon|Broń 2-ręczna
qstr_Crossbow_&_Bolts|Kusza i Bełty
qstr_Thrown_Weapon_&_Shie|Broń rzucana i Tarcza
qstr_Polearm__spear_|Broń drzewcowa (włócznia)
qstr_Enhancements|Udoskonalenia
qstr_Horse|Koń
qstr_Enhanced_Horse|Ulepszony Koń
qstr_Enhanced_Armor|Ulepszony Pancerz
qstr_Enhanced_Weapons|Ulepszona Broń
qstr_Enhanced_Shield|Ulepszona Tarcza
qstr_Basic_Options|Podstawowe opcje
qstr_You_may_choose_three|Możesz wybrać trzy spośród następujących        ^weapon or enhancement options that will        ^Określ swoje wyposażenie startowe.          ^Dodatkowe opcje po prawej stronie umożliwiają         ^ustawienie trwałych opcji dla każdej rundy.
qstr_The__Done__Button|Przycisk 'Gotowe'
qstr_This_will_end_the_cu|Zakończy to bieżącą prezentację i          ^powróci do menu turnieju.^^^^
qstr_The__Settings__Butto|Przycisk 'Ustawienia'
qstr_This_will_toggle_bet|This will toggle between the option displays         ^for visual and text effects or combat         ^preferences.^^^
qstr_The__Character__Choo|Wybór Postaci
qstr_Using_the_arrows_you|Using the arrows you can cycle through         ^your character and each companion you         ^currently have in your party.^^^
qstr_The__Persistent_Bet_|The 'Persistent Bet' Slider
qstr_By_setting_this_slid|By setting this slider you will automatically         ^place the appropriate bet amount every         ^round of a tournament if you have enough         ^money to do so.         ^Note: This works for the player only.^
qstr_The__Persistent_Team|The 'Persistent Team' Slider
qstr_By_setting_this_slide|By setting this slider you will automatically         ^be placed on the requested team if there         ^is enough teams to support it.  Team order         ^is red, blue, green then yellow.         ^Note: This works for the player only.^
qstr_The__Renown_Scaling_|The 'Renown Scaling' Checkbox
qstr_With_this_enabled_yo|With this enabled you will gain an amount         ^of renown on a tournament win proportional         ^to your level and renown.  The higher your         ^level or renown is the less you will receive.         ^Note: This works for the player only.^
qstr_The__Display_Health_|The 'Display Health Bars' Checkbox
qstr_With_this_enabled_you|With this enabled you see health bars shown         ^above each participant's head based upon your         ^settings selected in the main mod settings.^^^
qstr_The__Always_Randomiz|The 'Always Randomize' Checkbox
qstr_With_this_enabled_you_|With this enabled you will always have         ^random options chosen each round.  This         ^allows you to have an experience closer         ^to native gameplay.         ^Note: This works for the player only.^
qstr_The__Never_Spawn__Ch|The 'Never Spawn' Checkbox
qstr_With_this_enabled_th|With this enabled the selected character         ^will never be chosen to join tournaments         ^to keep out companions that are not meant         ^to be fighters.         ^Note: This works for companions only.^
qstr_The__Horse__Checkbox|The 'Horse' Checkbox
qstr_You_will_always_ente|You will always enter play mounted.  By         ^enabling this you open up the option to         ^select the enhanced horse which is a         ^warhose.^^
qstr_The__Show_Combat_Dis|The 'Show Combat Display' Checkbox
qstr_Enable_this_to_see_a|Enable this to see a realtime display of         ^each team's remaining members, points         ^acquired and the top three ranking members         ^of the round.         ^Note: This is currently disabled.^
qstr_The__Show_Teammate_D|The 'Show Teammate Damage' Checkbox
qstr_Enable_this_to_see_t|Enable this to see the damage dealt by         ^your teammates displayed in the message         ^window during combat.^^^
qstr_The__Display_Awards_|The 'Display Awards in Combat' Checkbox
qstr_Enable_this_to_see_w|Enable this to see when competitors earn         ^awards during combat.^^^^
qstr_The__Display_Points_|The 'Display Points in Combat' Checkbox
qstr_Enable_this_to_see_wh|Enable this to see when competitors earn         ^points during combat.^^^^
qstr_The__Display_Team_Po|The 'Display Team Point Awards' Checkbox
qstr_Enable_this_to_see_whe|Enable this to see when each team earns         ^points during combat.^^^^
qstr_The__Enable_Level_Sc|The 'Enable Level Scaling' Checkbox
qstr_Enable_this_to_cause|Enable this to cause generic opponents         ^in the arena to scale with you to         ^maintain an evened out difficulty effect.         ^throughout your character's level.^^
qstr_You_really_don_t_wan|You really don't want that turned ON for your main character.
qstr_DEBUG_Mode_Exit|Opuść DEBUG Mode
qstr_Exit_Tournament|Opuść Turniej
qstr_Continue|Kontynuuj
qstr_Finish|Zakończ
qstr_{s22}|{s22}
qstr_Tournament_Options|Opcje Turnieju
qstr_Round_Standings|Tabela Rund
qstr_Tournament_Rankings|Ranking Turnieju
qstr_Tournament_Standings|Tabela Turnieju
qstr_Round_{reg3}_Ranking|Ranking {reg3} Rund
qstr_{s11}|{s11}
qstr_{s12}|{s12}
qstr_{reg2}_teams_of_{reg|{reg2} drużyn z {reg3} członków
qstr_Bet:|Postaw:
qstr_Page_1__1_10_|Strona 1 (1-10)
qstr_Page_2__11_20_|Strona 2 (11-20)
qstr_Page_3__21_30_|Strona 3 (21-30)
qstr_Page_4__31_40_|Strona 4 (31-40)
qstr_TOURNAMENT_AWARDS|NAGRODY TURNIEJOWE
qstr_{s25}^Swiftest_Cut^A|{s25}^Najszybsze Cięcie^Przyznano {s2}^+{reg1} doświadczenia^+{reg21} renomy^
qstr_{s25}^Fiercest_Compe|{s25}^Zaciekły Zawodnik: {reg2}^Przyznano {s2}^+{reg1} doświadczenia^+{reg21} renomy^
qstr_{s25}^Dominant_Prese|{s25}^Dominująca Postawa^Przyznano {s2}^+{reg1} doświadczenia^+{reg21} renomy^
qstr_{s25}^Legendary_Pres|{s25}^Legendarna Postawa^Przyznano {s2}^+{reg1} doświadczenia^+{reg21} renomy^
qstr_{s25}^Mythical_Prese|{s25}^Mityczna Postawa^Przyznano {s2}^+{reg1} doświadczenia^+{reg21} renomy^
qstr_{s25}^Cautious_Appro|{s25}^Ostrożne Podejście^Przyznano {s2}^{reg21} renomy^
qstr_{s25}|{s25}
qstr_Slot|Gniazdo
qstr_#|#
qstr_TROOP|GRUPA
qstr_ROUND_POINTS|PUNKTY ZA RUNDĘ
qstr_TOTAL_POINTS|PUNKTY RAZEM
qstr_Random_teams_and_siz|Losowo wybrany rozmiar i zespół
qstr_ERROR__TPE_:_An_inva|ERROR (TPE): Znaleziono nieprawidłowego zwycięzce.  1'sze = {reg31}, 2'ie = {reg32}, 3'cie = {reg33}.
qstr_TOURNAMENT_WINNERS|ZWYCIĘZCY TURNIEJU
qstr_1st|1'sze
qstr_Tournament_Awards|Nagrody turniejowe
qstr_{reg5}_denars|{reg5} denarów
qstr_{reg6}_experience|{reg6} doświadczenia
qstr_{reg7}_renown|{reg7} renomy
qstr_Tournament_Prizes|Tournament Prizes
qstr_2nd|2'ie
qstr_3rd|3'cie
qstr_City_of_{s21}|Miasto {s21}
qstr_{reg21}%|{reg21}%
qstr_DEBUG__TPE_Design_:_|DEBUG (TPE Design): Przedmiot '{s1}' dodany.
qstr_Found:_Item_#{reg22}|Znaleziono: Przedmiot #{reg22} - '{s21}' w gnieździe #{reg21}.
qstr_CURRENT_COMMANDER_S_|AKTUALNY RAOPORT DOWÓDCÓW!
qstr_Your_Commander:_{s19|Twój dowódca: {s19}
qstr_Commander_Relation:_|Relacje dowódcy: {reg0}
qstr_Enlisted_Faction:_{s|Enlisted Faction: {s20}
qstr_Current_Rank:_{s21}|Aktualny Ranking: {s21}
qstr_N/A|N/A
qstr_Experience_to_next_p|Doświadczenie do następnej promocji: {s1}
qstr_Days_in_service:_{re|Dni w służbie: {reg20}
qstr_Current_Wage:_{reg23|Aktualne płace: {reg23} denars.
qstr_Next_Pay/Promotion_d|Next Pay/Promotion day: {s25}
qstr_Army_size:_{reg26}|Wielkość Armii: {reg26}
qstr_Commander_s_Army|Dowódcy Armii
qstr_Player_s_Kingdom|Gracze Królestwa
qstr_Kingdom_of_Swadia|Królestwo Swadii
qstr_Kingdom_of_Vaegirs|Królestwo Vaegirów
qstr_Khergit_Khanate|Khanat Khergicki
qstr_Kingdom_of_Nords|Królestwo Nordów
qstr_Kingdom_of_Rhodoks|Królestwo Rhodoków
qstr_Sarranid_Sultanate|Sułtanat Sarranidzki
qstr_DEBUG__KMT_:_Object_|DEBUG (KMT): Obiekt kliknięty to {reg1}.  Wartość to {reg2}.
qstr_a_priest|księdzem
qstr_an_acolyte|akolitą
qstr_a_noble_in_training|a noble in training
qstr_a_courtier|dworzaninem
qstr_a_mummer|a mummer
qstr_a_preacher|kaznodzieją
qstr_a_mercenary|najemnikiem
qstr_a_bravo|a bravo
qstr_a_gladiator|gladiatorem
qstr_a_bandit|bandytą
qstr_a_slave_trader|handlarzem niewolników
qstr_religious_fervor|fanatykiem religijnym
qstr_sense_of_duty|poczucie obowiązku
qstr_Native_Troops|Wojska Native
qstr_Reworked_Troops|Wojska Przerobione
qstr_Expanded_Troops|Wojska Rozszerzone
qstr_Gender_option_changePłeć do zmiany w opcjach {reg1}.
qstr_Father_background_op|Pochodzenie ojca do zmiany w opcjach {reg1}.
qstr_Early_life_option_ch|Wczesny okres życia do zmiany w opcjach {reg1}.
qstr_Later_life_option_ch|Późny okres życia do zmiany w opcjach {reg1}.
qstr_Reason_option_change|Powody rozpoczęcia podróży do zmiany w opcjach {reg1}.
qstr_ERROR:_No_valid_troo|BŁĄD: Nie znaleziono wybranego drzewa rozwoju wojsk.
qstr_Troop_tree_changed_t|Drzewo rozwoju wojsk do zmiany w opcjach {reg1?Rozszerzone lub Przerobione:Native} Drzewa [ {reg1} ].
qstr_Option:_Fog_of_War_h|Opcja: Mgła wojny {reg1?WŁĄCZONE:WYŁĄCZONE} [ {reg1} ].
qstr_Option:_Gathering_co|Opcja: Zgromadzenie towarzyszy {reg1?WŁĄCZONE:WYŁĄCZONE} [ {reg1} ].
qstr_Option:_Starting_reg|Opcja: Region rozpoczęcia przygody {s2} [{reg1}].
qstr__near_{s10}| blisko {s10}
qstr_Your_recruiter_who_w|Twój rekruter, upoważniony do rekrutacji {reg10} rekrutów dla {s13} został pokonany{s10}!
qstr_Your_caravan_sending|Twoja karawana wioząca {s12} do {s13} została pokonana{s10}!
qstr_Your_messenger_on_th|Twój posłaniec w drodze do {s13} został pokonany{s10}!
qstr_Your_soldiers_patrol|Twój oddział patrolujący {s13} został pokonany{s10}!
qstr_A_scout_trying_to_ga|Szpieg próbujący uzyskać informacje o {s13} został zabity{s10}!
qstr_{s1}_of_the_{s3}_was|{s1} ({s3}) został pokonany w bitwie, lecz zdołał uciec.
qstr_{s1}_is_now_a_prison|{s1} jest teraz więźniem {s2}.
qstr_{s54}_is_a_claimant_|{s54} jest pretendentem do tronu państwa o nazwie {s56}.
qstr_nowhere|nic
qstr_{s57}_and_{s58}|{s57} i {s58}
qstr_{reg3?She:He}|{reg3?Ona:On}
qstr_The_town_of_{s50}|Miasto {s50}
qstr_The_village_of_{s50}|Wioska {s50}, w pobliżu której znajduje się {s52}
qstr_{s51}_belongs_to_{s1|{s51}, należy do osoby o imieniu {s1} ({s2}), i postanowił oznaczyć to miejsce jako swój dwór.^
qstr_{s51}_belongs_to_{s1}|{s51}, należy do osoby o imieniu {s1} ({s2}), i postanowił oznaczyć to miejsce {reg0?:} jako {reg0?swój:swój} dwór.^
qstr_{s51}_belongs_to_{s1}_|{s51}, należy do osoby o imieniu {s1} ({s2}), i postanowił oznaczyć to miejsce {reg0?:} jako {reg0?swój:swój} dom.^
qstr_{s51}_belongs_to_{s1}_o|{s51}, należy do osoby o imieniu {s1} ({s2}).^
qstr_{s51}_belongs_to_{s2|{s51}, należy do osoby o imieniu {s2} ale nie została jeszcze przyznana żadnemu władcy.^
qstr_{s51}_belongs_to_{s2}|{s51}, należy do osoby o imieniu {s2}.^
qstr_{s2}Its_market_town_|{s2}Its market town is {s8}.^
qstr_{s7}_and_{s8}|{s7} i {s8}
qstr_{s2}It_has_no_villag|{s2}Nie ma żadnych wiosek.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Wioski przynależące to:Wioska przynależąca to} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Poziom zasobności jest: {s50}
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|nikt
qstr_{s9}_and_{s10}|{s9} i {s10}
qstr_{s9}_{s10}|{s9}, {s10}
qstr_{s5}_has_been_defeat|{s5} ogłasza upadek!
qstr_{s7}_opened_the_gate|{s7} otwiera bramę
qstr_{s7}_closed_the_gate|{s7} zamyka bramę
qstr_+{reg1}_to_party_mor|+{reg1} do morali oddziału
qstr_{reg1}_to_party_mora|{reg1} do morali oddziału
qstr_tactics|Taktyka
qstr_persuasion|Perswazja
qstr_leadership|Przywódctwo
qstr_intelligence|Inteligencja
qstr_prisoner_management|Zarządzanie więźniami
qstr_trade|Handel
qstr_weapon_mastery|Władanie bronią
qstr_engineer|Inżynieria
qstr_charisma|Charyzma
qstr_looting|Zdobywanie łupów
qstr_first_aid|Pierwsza pomoc
qstr_spotting|Spostrzegawczość
qstr_path_finding|Orientacja w terenie
qstr_+1_to_{s1}_after_rea|+1 do {s1} po przeczytaniu
qstr_Requires_{reg1}_inte|Wymaga {reg1} inteligencji, aby przeczytać
qstr_Reading_Progress:^{p|Postęp w czytaniu:^{playername}:{reg1}.{reg2}%
qstr_{s0}^{s1}:{reg1}.{re|{s0}^{s1}:{reg1}.{reg2}%
qstr_wound_treament|Opatrywanie ran
qstr_trainer|Szkolenie
qstr_surgery|Chirurgia
qstr_pathfinding|Orientacja w terenie
qstr_+1_to_{s1}_while_in_|+1 do {s1}, kiedy w ekwipunku
qstr__^| ^
qstr_price:_base_price*{r|Cena: Cena bazowa*{reg1}.{reg2}
qstr__2_speed^_2_maneuver|-2 Szybkość^-2 Zwrotność
qstr__5_speed^_5_maneuver|-5 Szybkość^-5 Zwrotność
qstr_+3_armor^+4_charge^+|+3 Zbroja^+4 Szarża^+10 Punktów życia
qstr__1_requirement_of_ri|-1 Wymagana Jazda konna
qstr_+1_requirement_of_ri|+1 Wymagana Jazda konna^+5 Punktów życia
qstr_+1_speed^+1_armor^+1|+1 Szybkość^+1 Zbroja^+1 Szarża
qstr_+2_requirement_of_ri|+2 Wymagana Jazda konna^+2 Szybkość^+2 Zbroja^+2 Szarża
qstr__56_hit_points^_4_re|-56 Punktów życia^-4 Odporność
qstr__26_hit_points^_2_re|-26 Punktów życia^-2 Odporność
qstr_+47_hit_points^+2_re|+47 Punktów życia^+2 Odporność
qstr_+83_hit_points^+4_re|+83 Punktów życia^+4 Odporność
qstr___| -
qstr__+| +
qstr_{reg1?{s1}{reg4}_to_|{reg1?{s1}{reg4} do uzbrojenia głowy^:}{reg2?{s1}{reg4} do uzbrojenia ciała^:}{reg3?{s1}{reg4} do uzbrojenia nóg:}
qstr_{reg1?_5_swing_damag|{reg1?-5 Obrażenia sieczne^:}{reg2?-5 Obrażenia kłute^:}
qstr_{reg1?_3_swing_damag|{reg1?-3 Obrażenia sieczne^:}{reg2?-3 Obrażenia kłute^:}
qstr_{reg1?_3_swing_damage|{reg1?-3 Obrażenia sieczne^:}{reg2?-3 Obrażenia kłute^:}-3 Szybkość
qstr_{reg1?_1_swing_damag|{reg1?-1 Obrażenia sieczne^:}{reg2?-1 Obrażenia kłute^:}
qstr_{reg1?+3_swing_damag|{reg1?+3 Obrażenia sieczne^:}{reg2?+3 Obrażenia kłute^:}+3 Szybkość
qstr_{reg1?+4_swing_damag|{reg1?+4 Obrażenia sieczne^:}{reg2?+4 Obrażenia kłute^:}
qstr_{reg1?+5_swing_damag|{reg1?+5 Obrażenia sieczne^:}{reg2?+5 Obrażenia kłute^:}+1 Szybkość{reg3?^+4 Wymagana siła:}
qstr_{reg1?+2_swing_damag|{reg1?+2 Obrażenia sieczne^:}{reg2?+2 Obrażenia kłute^:}-2 Szybkość{reg3?^+1 Wymagana siła:}
qstr__5_damage|-5 Obrażenia
qstr__3_damage^_3_speed|-3 Obrażenia^-3 Szybkość
qstr_+3_damage^_3_speed{r|+3 Obrażenia^-3 Szybkość{reg3?^+2 Wymagana siła naciągu:}
qstr_+5_damage^+1_speed{r|+5 Obrażenia^+1 Szybkość{reg3?^+4 Wymagana siła naciągu:}
qstr_+13%_max_ammo|+13% maksymalna amunicja
qstr_+2_damage^_2_speed{r|+2 Obrażenia^-2 Szybkość{reg3?^+1 Wymagana siła rzutu:}
qstr_+3_damage^+3_speed|+3 Obrażenia^+3 Szybkość
qstr__3_damage|-3 Obrażenia
qstr_Move_here|Przejdź tutaj
qstr_View_notes|Zobacz notatki
qstr_Accompany|Asystuj
qstr__{s61}_{s62}_| {s61}({s62})
qstr_killed|zabito
qstr_wounded|raniono
qstr_{s0}^TOTAL:_{reg3}__|{s0}^ŁĄCZNIE: {reg3} ({s2})
qstr_^None|^Brak
qstr_nothing|brak
qstr_{reg0}_village{reg1?|{reg0} w{reg1?si:ieś}
qstr_{reg0}_castle{reg1?s|{reg0} z{reg1?amki:amek}
qstr_{reg0}_castle{reg1?s:|{reg0} z{reg1?amki:amek} i {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} m{reg1?iasta:iasto}
qstr_{reg0}_town{reg1?s:}_|{reg0} m{reg1?iasta:iasto} i {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} m{reg1?iasta:iasto}, {s0}
qstr_Your_opponents_are_r|Twoi przeciwnicy są gotowi do walki.
qstr_Try_to_destroy_as_ma|Zniszcz tyle celów, ile zdołasz. Masz dwie i pół minuty na oczyszczenie drogi.
qstr_Stay_behind_the_line|Stój za linią na ziemi i strzelaj do celów. Staraj się nie pudłować.
qstr_Bonus_chance_of_loot|Bonusowa szansa łupu: {reg0}%.
qstr_Battle_Advantage_=_{|Przewaga bitewna = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} chce, aby podążano za jego armią aż do odwołania.
qstr_{s5}_of_the_{s7}_has|{s5} of the {s7} has taken ownership of {s4}.
qstr_{s4}_has_been_awarde|{s4} został przyznany {s5} , który jest wasalem {s7}.
qstr_pt_in_{s11}|pt w {s11}
qstr__Being_Raided_|(plądrowana)
qstr__Looted_|(splądrowana)
qstr__Under_Siege_|(pod oblężeniem)
qstr_The_village_of_{s1}_|Wioska {s1} została splądrowana przez {s2}.
qstr_{s3}_is_no_longer_un|{s3} nie jest już pod oblężeniem.
qstr_Small_bands_of_enemi|Zauważono niewielkie oddziały wroga w pobliżu miejscowości {s1}.
qstr_Enemy_patrols_spotte|Zauważono wrogie patrole w pobliżu miejscowości {s1}.
qstr_Medium_sized_group_o|Zauważono średniej wielkości oddziały wroga w pobliżu miejscowości {s1}.
qstr_Significant_group_of|Zauważono liczne oddziały wroga w pobliżu miejscowości {s1}.
qstr_Army_of_enemies_spot|Zauważono armię wroga w pobliżu miejscowości {s1}.
qstr_Large_army_of_enemie|Zauważono sporą armię wroga w pobliżu miejscowości {s1}.
qstr_Great_host_of_enemie|Zauważono ogromną armię w pobliżu miejscowości {s1}.
qstr_{s0}_collects_{reg0}|{s0} zbiera {reg0} denarów od {s4}, obecny majątek: {reg1} denarów
qstr__{s10}_of_{s13}_recr| {s10} z {s13} rekrutów {s11} {s12} w {s14}
qstr_{s1}_has_been_besieg|{s2} ({s3}) oblega {s1}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s5}_has_the_greates|{s5} ma największe poparcie wśród lordów państwa o nazwie {s4} do bycia marszałkiem.  {s0} jest niedysponowany i nie może odrzucić odrzucił zaszczyt wyboru.
qstr_{s5}_has_the_greatest|{s5} ma największe poparcie wśród lordów państwa o nazwie {s4} do otrzymania {s1}.  {s0} jest niedysponowany i nie może odrzucił zaszczyt wyboru.
